Text,Label,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"Dear Professor <redacted>,I am wrting to ask if it is still possible to enroll in this course. If not, are you going to run this course again sometime soon?Thanks so much!Best regards,<redacted><redacted>",0,46,37,20.61,39.34,71.04,99,18.5,18.92,83.78,51.35,13.51,5.41,2.7,0,2.7,0,0,8.11,0,10.81,8.11,10.81,8.11,2.7,18.92,2.7,2.7,0,0,2.7,8.11,8.11,0,0,0,0,8.11,0,2.7,0,0,13.51,0,0,5.41,10.81,0,8.11,0,0,0,0,0,0,0,0,0,8.11,2.7,2.7,5.41,2.7,0,0,16.22,8.11,18.92,5.41,2.7,10.81,8.11,0,0,0,0,0,0,0,0,0,0,0,32.43,2.7,8.11,0,0,2.7,2.7,0,0,0,0,16.22
"I found that in the Unit 2 module 3, Difference in rate GI events Vioxx 56/2315 should be 2.4 which is given 2.1. Similarly Naproxen 121/2316 should be 5.2 which is given 4.5. Going ahead incidence rate difference should be 5.2-2.4= 2.8 which is given 2.4. It also changes NNT which is given 42 but should be 35 (100/2.8). Is this just typo error or I am wrong somewhere. Please clarify.",0,82,75,16.36,21.18,14.56,25.77,12.5,10.67,61.33,42.67,13.33,2.67,2.67,0,0,0,0,9.33,1.33,4,18.67,4,4,0,26.67,5.33,4,5.33,24,0,2.67,1.33,1.33,0,0,0,0,0,0,0,0,16,2.67,1.33,5.33,2.67,0,5.33,0,0,0,0,0,0,0,0,0,2.67,0,1.33,0,0,1.33,6.67,13.33,2.67,9.33,2.67,4,2.67,0,0,0,0,0,0,0,0,0,0,0,0,18.67,8,1.33,0,0,0,0,1.33,0,0,2.67,5.33
Difference in rate GI events Vioxx 56/2315 should be 2.4 which is given 2.1. Similarly Naproxen 121/2316 should be 5.2 which is given 4.5. Going ahead incidence rate difference should be 5.2-2.4= 2.8 which is given 2.4. It also changes NNT which is given 42 but should be 35 (100/2.8). Is this just typo error or I am wrong somewhere. Please clarify.,0,65,66,9.4,22.44,6.95,25.77,11,12.12,62.12,42.42,12.12,1.52,1.52,0,0,0,0,9.09,0,3.03,21.21,4.55,4.55,0,28.79,6.06,4.55,6.06,24.24,0,3.03,1.52,1.52,0,0,0,0,0,0,0,0,16.67,1.52,1.52,6.06,3.03,0,6.06,0,0,0,0,0,0,0,0,0,3.03,0,1.52,0,0,1.52,6.06,15.15,3.03,9.09,3.03,3.03,3.03,0,0,0,0,0,0,0,0,0,0,0,0,19.7,9.09,0,0,0,0,0,1.52,0,0,3.03,6.06
2.56 risk ratio means that there is 2.56 **times** risk for depressive disorder and that equals to 156% **increase** in risk [( risk ratio-1)*100],1,218,25,82.26,50,20.24,1,25,12,68,32,8,0,0,0,0,0,0,8,0,12,4,4,4,0,8,4,4,0,20,4,20,0,20,16,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,8,0,12,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,4,0,0,8,48
"Hi, my name is <nameRedac_<anon_screen_name_redacted>>, can I join the group? Nice idea!",0,255,16,56.25,89.42,35.37,99,8,12.5,81.25,31.25,12.5,12.5,12.5,0,0,0,0,0,6.25,0,12.5,0,0,0,12.5,6.25,0,0,0,6.25,6.25,6.25,0,0,0,0,25,0,0,0,0,6.25,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,18.75,18.75,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,12.5,0,0,6.25,6.25,0,0,0,0,50
"Hello, Welcome to the class! You are welcome to complete the HW assignments and quizzes at your own pace (If you are able to complete all of the units in two weeks, that is fine). That being said, the MC final exam will only be released on August 26th and will be due on August 30th. Hope this information helps,Josh",1,67,61,78.64,94.94,14.89,99,15.25,13.11,85.25,49.18,9.84,4.92,0,0,4.92,0,0,4.92,6.56,13.11,13.11,1.64,4.92,0,18.03,3.28,0,0,1.64,1.64,8.2,8.2,0,0,0,0,13.11,0,0,0,0,9.84,1.64,0,3.28,3.28,4.92,1.64,1.64,0,1.64,0,0,0,0,0,0,8.2,6.56,1.64,0,0,0,1.64,11.48,4.92,14.75,0,6.56,8.2,6.56,0,0,0,0,0,0,0,0,0,0,0,14.75,3.28,6.56,0,0,0,1.64,0,0,0,3.28,0
"Hello, Good question!The number for the HW assignment is the number of births that are twin births. This is not the number of kids born.Josh",1,153,27,96.08,64.46,33.94,88.52,13.5,7.41,77.78,48.15,7.41,0,0,0,0,0,0,7.41,14.81,11.11,11.11,0,0,3.7,14.81,0,0,0,0,0,3.7,3.7,0,0,0,0,11.11,0,0,0,0,7.41,3.7,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,7.41,3.7,0,0,3.7,0,3.7,11.11,0,11.11,0,0,11.11,3.7,0,0,0,0,0,0,0,0,0,0,0,14.81,7.41,3.7,0,0,0,3.7,0,0,0,0,0
"Unit 3 Module 4 should have a quiz. Can you try reloading? Thanks,Josh",1,45,14,48.63,92.33,1,99,4.67,7.14,57.14,35.71,7.14,7.14,0,0,7.14,0,0,0,7.14,0,21.43,0,0,0,28.57,0,0,0,14.29,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,14.29,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,28.57,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,7.14,0,0,7.14,0,0,0,0,0,0
"Hello Luis,Thanks for sharing this question!Descriptive studies are generally considered hypothesis generating studies, where the existing distribution of certain factors are studied (who, what, when, and where).Cross sectional studies are a type descriptive study. They are used to learn about a population at a specific point in time (a snap shot of the population) & to estimate prevalences and to monitor trends over time. Analytic studies test hypotheses (usually about exposure-outcome relationships)Best,josh",1,61,77,91.98,78.21,31.94,97.38,25.67,38.96,76.62,41.56,5.19,1.3,0,0,0,0,1.3,3.9,7.79,14.29,5.19,9.09,3.9,0,12.99,2.6,1.3,6.49,0,0,5.19,5.19,0,0,0,0,7.79,0,0,0,0,16.88,5.19,3.9,0,6.49,2.6,0,1.3,1.3,0,0,0,0,0,0,0,6.49,3.9,1.3,2.6,1.3,0,2.6,7.79,0,12.99,0,7.79,5.19,11.69,0,0,0,0,0,0,0,0,0,0,0,23.38,3.9,7.79,0,0,0,1.3,1.3,0,0,7.79,1.3
???? ??? ? ???? ???? ?? ???? ???? ?? ????????? ????? statistically independent ??? ??????? ???? ??? ?????,0,255,2,93.26,50,1,25.77,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,3200,0,0,0,0,0,0
"Hello,Thank you for this optional video.However I may have a question.Isn't \n\"" the number of time the experiment is carried out (that is to say the number of iid variable) instead of the number of draws for every iid variable?I thank you a lot for your explanations.Best Regards,G. RIZK""",0,60,55,91.4,70.74,31.94,98.09,27.5,18.18,81.82,52.73,12.73,9.09,3.64,0,5.45,0,0,3.64,10.91,16.36,9.09,3.64,1.82,1.82,16.36,1.82,1.82,0,0,3.64,5.45,5.45,0,0,0,0,10.91,0,0,0,0,21.82,3.64,1.82,0,10.91,1.82,5.45,3.64,1.82,1.82,0,0,0,0,0,0,3.64,1.82,1.82,1.82,1.82,0,1.82,12.73,1.82,5.45,1.82,1.82,1.82,0,1.82,0,0,0,0,0,0,0,0,0,0,25.45,7.27,3.64,0,0,1.82,0,0,3.64,1.82,3.64,3.64
I am so confused about the interpretation of the risk ratio for example why do we say that those with moderate blockage have 156% instead of 256% increased prevalence of depressive disorder compared to those with the least blockage ? the risk ratio was 2.56 not 1.56 ?!!! i mean why do we subtract the 2.56 from 1 ??,0,82,56,80.46,50,7.84,1,18.67,23.21,73.21,55.36,12.5,7.14,3.57,3.57,0,0,0,5.36,8.93,16.07,8.93,8.93,1.79,1.79,12.5,5.36,3.57,3.57,10.71,1.79,7.14,0,7.14,5.36,0,1.79,5.36,0,0,0,0,12.5,3.57,3.57,0,1.79,0,3.57,1.79,0,1.79,0,0,0,0,0,0,7.14,3.57,0,0,0,3.57,1.79,10.71,0,1.79,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,0,0,7.14,5.36,0,0,0,0,3.57
thought it was downloaded with Part 1?,0,73,7,68.29,50,13.15,25.77,7,28.57,71.43,42.86,14.29,0,0,0,0,0,0,14.29,0,14.29,14.29,0,0,0,28.57,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0
"The way I remember it is that when ratio is above 1, you subtract 1 to get the % increase.  So here it is 2.56 - 1 = 1.56 or 156%; of the risk was 4.56 then the % increase would be 356.",0,218,39,30.21,50,46.75,2.7,19.5,10.26,74.36,58.97,12.82,5.13,2.56,0,2.56,0,0,7.69,10.26,7.69,15.38,7.69,10.26,0,20.51,0,0,2.56,20.51,0,2.56,0,2.56,2.56,0,0,2.56,0,0,0,0,7.69,2.56,0,2.56,2.56,0,2.56,0,0,0,0,0,0,0,0,0,7.69,0,0,2.56,2.56,2.56,5.13,12.82,2.56,15.38,5.13,5.13,5.13,0,0,0,0,0,0,0,0,0,0,0,0,23.08,5.13,2.56,0,2.56,0,0,2.56,0,0,0,10.26
"This can be confusing! Think of it this way: If nonsmokers have a 1% risk of a certain cancer and smokers have a 2% risk, that's a doubling of risk, or RR=2.0. However, this is a 100% increase in risk, not a 200% increase in risk. The original risk was 1%; we added that same amount (1%), so we added 100% to our risk, not 200%. If we increased our risk by 200%, the risk would be 1%+1%*2.0=3%. Or think in terms of money: If something costs 10 dollars and the price increases to 20 dollars, we have increased by 100% of the original price, not 200%.",1,82,111,70.25,50,13.62,1,18.5,14.41,81.98,50.45,11.71,5.41,0,5.41,0,0,0,6.31,9.01,10.81,9.01,1.8,8.11,2.7,9.91,2.7,0.9,0,17.12,3.6,11.71,2.7,9.01,9.01,0,0,5.41,0,0,0,0,13.51,1.8,0,3.6,6.31,0.9,8.11,0,0,0,0,1.8,0,0.9,0,0.9,15.32,5.41,0,0,1.8,8.11,2.7,9.01,0,8.11,4.5,3.6,0,0,0,0,5.41,0,0,0.9,0,0,0,0,0.9,35.14,4.5,8.11,1.8,0.9,0,0.9,0,0,0.9,1.8,16.22
"Thanks for sharing Romain,Since these are computer generated, there is not much we can do about it!Josh",1,44,19,12.81,70.08,4.05,99,19,15.79,89.47,63.16,15.79,5.26,0,5.26,0,0,0,10.53,0,15.79,21.05,10.53,0,5.26,26.32,0,0,0,0,5.26,10.53,10.53,0,0,0,0,10.53,0,0,0,0,15.79,0,10.53,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0,26.32,0,5.26,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,15.79,0,10.53,0,0,0,5.26,0,0,0,0,0
That's ok. Just wanted to be sure that I am going on right track and it seems I am getting it.,1,82,21,2.86,17.04,68.01,99,10.5,4.76,95.24,61.9,28.57,9.52,9.52,0,0,0,0,19.05,0,9.52,19.05,4.76,4.76,0,38.1,0,0,0,0,0,9.52,9.52,0,0,0,0,0,0,0,0,0,14.29,4.76,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,4.76,0,4.76,23.81,4.76,14.29,4.76,9.52,0,0,0,0,0,0,0,4.76,0,0,4.76,0,0,14.29,9.52,0,0,0,0,0,0,0,4.76,0,0
i think disadvantage of not being able to generalize to whole population is compensated by reduced numbers of mistakes(i mean bias) in the study compare to other study designs. The same time general population is also not homogeneous. So may be there is no need in generalization. We just need to do more RCTs in different groups of population and than do Good-meta-analysis.,0,126,66,73.59,14.44,23.51,7.96,16.5,24.24,81.82,51.52,6.06,4.55,3.03,1.52,0,0,0,1.52,3.03,18.18,12.12,6.06,4.55,4.55,18.18,10.61,7.58,0,0,4.55,4.55,1.52,3.03,0,0,0,3.03,0,0,0,0,18.18,4.55,0,4.55,1.52,0,7.58,0,0,0,0,0,0,0,0,0,7.58,3.03,1.52,1.52,1.52,1.52,0,15.15,1.52,6.06,0,4.55,1.52,4.55,0,0,1.52,0,0,0,0,0,0,0,0,12.12,6.06,0,0,0,0,0,3.03,0,0,3.03,0
"yes that's what I meant ,, thank u so much that was very helpful",1,87,13,1,77.92,17.46,99,13,7.69,100,61.54,38.46,15.38,7.69,0,7.69,0,0,23.08,0,0,15.38,15.38,7.69,0,30.77,7.69,0,7.69,0,7.69,15.38,15.38,0,0,0,0,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,23.08,0,15.38,0,0,0,0,0,0,7.69,0,0
"Thank you professor I got it ,, that was a very helpful example",1,82,12,6.95,95.2,1.79,99,12,25,91.67,58.33,33.33,16.67,8.33,0,8.33,0,0,16.67,8.33,0,8.33,8.33,0,0,25,8.33,0,0,0,0,16.67,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,0,8.33,8.33,0,16.67,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0
Could you please explain it. For example if the study was less than 1 year - 7 months. In order to calculate incidence we need person-years of follow up - should we multiply 7 month by number of people in the study. For example it was 100 people. Will it be this way - (100*7/12)-cause in a year its a 12 month. I am very confused with this. And do wee need to calculate person-years of follow-up every time we calculate incidence. Cause i used to have another calculation for incidence = (new cases of the disease divided by population at risk to have this disease at some period of time) - i didn't use person-years of follow-up in this calculation. Please help.,0,129,126,93.26,73.73,72.58,25.77,14,14.29,83.33,48.41,12.7,5.56,2.38,2.38,0.79,0,0,7.14,3.97,20.63,8.73,0.79,1.59,0.79,15.08,2.38,1.59,0,6.35,3.17,3.17,1.59,1.59,1.59,0,0,8.73,0,0,0,0,11.9,0.79,3.17,3.97,2.38,0.79,2.38,0,0,0,0,1.59,0,1.59,0,0,7.14,3.17,0,3.97,0,0.79,3.17,9.52,0.79,23.02,2.38,7.94,11.9,1.59,0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,0,0,0,0,0,7.94,0,0.79,3.17,2.38
Thanks Josh...glad I am in the course.,1,103,8,93.26,10.58,74.76,99,8,0,87.5,50,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,12.5,0,0,0,25,12.5,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0
"i think the answer should be choice no. E \5 events per 1000 women-years\""  as the person year will be 1000 / 0.5 year x 2 = 2000 person year   then the incidence will be 10/2000 = 0.005   if we want it per 100 person year so it will be = 0.005 x 100 = 0.5  if we want it per 1000 person so it will be = 0.005x1000 = 5 !!!!""",1,65,67,19.81,77.22,6.57,25.77,33.5,1.49,64.18,40.3,10.45,4.48,1.49,2.99,0,0,0,5.97,4.48,1.49,14.93,2.99,8.96,1.49,19.4,1.49,1.49,0,23.88,0,0,0,0,0,0,0,10.45,0,0,1.49,0,11.94,4.48,0,7.46,2.99,0,2.99,0,0,0,0,0,0,0,0,0,2.99,2.99,0,0,0,0,0,11.94,7.46,10.45,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,26.87,1.49,0,0,0,0,5.97,1.49,2.99,0,0,14.93
The upshot - there is cellulite in my future!,0,57,8,72.69,10.58,99,25.77,8,12.5,75,62.5,12.5,12.5,12.5,0,0,0,0,0,12.5,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12.5,12.5,0,0,0,0
"Hi,The UI for that sequence indicates that a quiz question is present, but nothing shows up. Can you reproduce ?Cheers!",0,39,21,68.29,82.96,68.01,95.81,10.5,28.57,85.71,52.38,14.29,4.76,0,0,4.76,0,0,9.52,9.52,9.52,9.52,0,4.76,4.76,4.76,0,0,0,0,0,4.76,4.76,0,0,0,0,14.29,0,0,0,0,14.29,4.76,0,0,4.76,4.76,4.76,4.76,4.76,0,0,0,0,0,0,0,9.52,4.76,0,4.76,0,0,0,14.29,0,14.29,0,4.76,9.52,4.76,0,0,0,0,0,0,0,0,0,0,0,23.81,4.76,9.52,0,0,4.76,4.76,0,0,0,0,0
Thanks Josh!,1,61,2,93.26,50,1,99,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,0,0
Sure but when? Are we going to use this example for the survival analysis? :),0,57,15,52.71,74.76,82.75,99,5,20,93.33,53.33,13.33,6.67,0,6.67,0,0,0,6.67,6.67,13.33,6.67,6.67,13.33,0,20,0,0,6.67,0,0,13.33,13.33,0,0,0,0,6.67,0,0,0,0,26.67,6.67,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,6.67,0,0,0,0,13.33,6.67,13.33,6.67,0,6.67,6.67,0,0,0,0,0,6.67,0,6.67,0,0,0,13.33,0,0,0,0,13.33,0,0,0,0,0,0
"Hello I'm <redacted> <redacted> a Physical Therapist from Colombia, right now I'm unemployed so I figured out that this was a great moment to enhance my statistics skills.",0,783,28,38.6,14.19,96.82,87.2,28,32.14,82.14,50,21.43,14.29,14.29,0,0,0,0,7.14,7.14,10.71,10.71,7.14,3.57,0,10.71,7.14,0,0,0,0,3.57,3.57,0,0,0,0,3.57,0,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,10.71,3.57,3.57,0,3.57,0,3.57,10.71,0,14.29,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,28.57,3.57,3.57,0,0,0,0,0,0,7.14,0,14.29
"HelloGood questions!So it seems like you are confusing cumulative incidence and incidence rate. CI is a proportion, it is the (# people who develop an outcome / # of people initially at risk). With the CI all people are followed for the same amount of time. For example, say you had 40 people in a STATS class and a 1-year period. 14 of these students developed pneumonia. The 1-year cumulative incidence of pneumonia (14/40) or (14/40)*100 = 35 per 100 students. A CI value has no units and the denominator is based on all people who are at risk at risk in the population. It assumes that all people are followed for the same amount of time (in this case a year), and that the population is closed (no people going in or out). Incidence rate (also called incidence density) = # of incident cases / Amount of person time at risk. The best way to think of it is as the occurrence of new cases (of a particular outcome) that arise during a certain amount of person-time of observation. The numerator for CI and incidence rate are exactly the same. The difference is that incidence rate is a true rate because it includes time. In order to understand incidence rate, one needs to talk about person-time. Person-time is only counted up until a person is diagnosed with the outcome of interest. For incidence rate, there is no assumption that everyone is followed for the same amount of time. People can exit and enter the population. So say a person is in a study for 6 months, without getting the outcome, and then drops out - they contribute 6 months to the person time of observation in the candidate population. Say a person is in the study for 12 months, without getting the outcome, and then dies - they contribute 12 months to the person time of observation in the candidate population. Say a person is in the study for 6 months and then gets diagnosed with the outcome of interest - they contribute 6 months to the person time of observation in the candidate population. If these were the only 3 people in the study, the incidence rate would be 1 / 2person-years. The numerator is 1 because 1 person had the outcome and the denominator of the incidence rate is the sum of all the person-times from each member in the candidate population (the population at risk).",1,129,410,98.26,76.04,48.21,29.86,19.52,19.76,81.71,47.8,5.12,1.22,0,0,0.49,0,0.73,3.9,12.68,16.59,6.83,1.71,5.61,1.22,11.22,2.44,2.2,0.49,5.37,2.44,3.17,1.71,1.46,1.46,0,0,9.27,0,0,0,0,8.54,1.95,2.44,0.73,1.95,1.95,1.46,0.98,0,0.98,0,0.49,0,0.49,0,0,3.9,0.49,0.24,1.22,1.22,1.22,1.71,9.02,0.98,18.05,1.22,6.34,10.24,2.2,0,0,0,0,0.24,0,0,0,0,0,0,16.83,5.12,2.44,0,0,0,0.24,2.44,0,0,3.9,2.68
"Hello,So first calculate how many women-years of follow up there are. 1000 women followed for 1/2 year. This is a total of 500 woman-years. (1000*1/2)=500. Try calculating it now!Best,Josh",1,65,38,71.12,85.38,50.35,74.74,7.6,7.89,71.05,34.21,5.26,0,0,0,0,0,0,5.26,2.63,10.53,5.26,10.53,5.26,0,13.16,2.63,2.63,2.63,23.68,5.26,2.63,2.63,0,0,0,0,10.53,0,0,7.89,0,7.89,0,2.63,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,13.16,2.63,7.89,5.26,2.63,0,2.63,13.16,0,21.05,5.26,2.63,13.16,0,0,0,0,0,0,0,0,0,0,0,0,39.47,10.53,5.26,0,0,0,2.63,5.26,0,0,5.26,10.53
"Hey guys,So say you are on UNIT 2 Module 2https://class.stanford.edu/courses/Medicine/MedStats/Summer20<zipRedac>4/courseware/de472d<zipRedac>448a74e639a4<zipRedac>fa584c49b9<zipRedac>e/<zipRedac><zipRedac>540d6dacba4ebab85fe42a6fc005a5/<zipRedac>Notice how there is a scroll bar above the video? If you hold your mouse over this, you will see that one says module 2 and the one next to it says QUIZ. Quizzes are located on the scroll bar after the modules.At the end of the week there is a HW. When you enter your answers (make sure to follow the instructions about rounding, not including symbols, etc) you press FINAL SUBMIT. You will see your score and green check marks or red x's. Solutions will also be provided. You have until the end of the class to complete the quizzes but the HW's for each unit have due dates - these are on the syllabus, in the weekly announcements, and included under the description of the HW.if you go to the progress page, you can see what grades you get on the HW assignments. Hope this helps!Josh",1,93,195,86.29,90.87,17.46,54.74,24.38,16.41,72.82,43.59,9.74,6.67,0,0,6.67,0,0,3.08,9.74,10.77,6.15,3.59,6.15,0.51,13.33,2.56,0.51,1.54,4.1,0.51,1.54,1.54,0,0,0,0,9.74,0,0.51,0,0.51,6.67,1.54,1.54,1.54,2.05,1.03,2.56,5.13,3.08,1.54,0.51,1.54,0,0.51,0,1.03,4.62,0.51,1.03,2.05,1.03,0,1.03,11.79,2.05,12.82,1.54,5.13,6.15,5.64,1.54,0,0,0,0,1.03,0,0.51,0,0,0,24.1,5.13,3.59,0,0,0.51,0.51,0.51,0,1.03,1.03,11.79
Hello!Can you try closing the site and refreshing at a later time?Josh,1,39,14,93.26,98.33,99,25.77,14,14.29,85.71,42.86,7.14,7.14,0,0,7.14,0,0,0,14.29,7.14,7.14,0,7.14,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,0,0,0,14.29,0,35.71,7.14,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,7.14,7.14,0,0,0,0,0
Happy to help!,1,61,3,99,99,1,99,3,0,100,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0
"Hi,I'm wondering why A is not the answer (18/39 as sensitivity). I made a two-way table and found this answer.Thank you,<nameRedac_<anon_screen_name_redacted>>",0,47,30,52.71,50,82.75,84.54,15,13.33,76.67,40,13.33,10,6.67,0,3.33,0,0,3.33,10,3.33,6.67,3.33,6.67,3.33,20,3.33,3.33,3.33,10,0,3.33,3.33,0,0,0,0,10,0,0,0,0,23.33,13.33,6.67,0,3.33,0,3.33,3.33,3.33,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,6.67,10,0,3.33,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,56.67,6.67,6.67,0,0,0,0,3.33,0,3.33,6.67,30
Sent me the link for the one you want deleted!Josh,1,127,11,98.34,96.52,85.21,25.77,11,9.09,90.91,45.45,18.18,18.18,9.09,0,9.09,0,0,0,18.18,9.09,0,0,0,0,27.27,0,0,0,9.09,0,0,0,0,0,0,0,18.18,0,0,0,0,18.18,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,18.18,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0
Dear Joshua Glad to get familiar with you. In some of the questions I wrote as the same as the right answers! but it says I am wrong! Can you please correct those items for me? the question three which ask for percentage.,0,783,43,90.82,82.39,49.53,95.29,8.6,13.95,95.35,53.49,18.6,11.63,6.98,0,4.65,0,0,6.98,9.3,18.6,4.65,0,6.98,0,11.63,13.95,6.98,2.33,2.33,4.65,9.3,6.98,2.33,0,0,0,13.95,0,2.33,0,0,13.95,6.98,0,0,6.98,2.33,2.33,2.33,0,2.33,0,0,0,0,0,0,6.98,2.33,0,0,2.33,2.33,2.33,11.63,0,4.65,0,4.65,0,2.33,0,0,0,0,0,0,0,0,0,0,0,11.63,4.65,0,0,0,2.33,4.65,0,0,0,0,0
"Are these two questions asking for the same numbers, but with question one we multiply by 1000 and then subtract and for question two we multiply by 100 and then subtract?Or is question 2 asking for the difference between the cumulative risk of the two drugs?Any help would be appreciated.",0,100,52,88.9,91.08,26.92,25.77,52,25,82.69,50,5.77,3.85,0,3.85,0,0,0,1.92,7.69,15.38,7.69,0,13.46,0,11.54,3.85,3.85,0,13.46,1.92,3.85,1.92,1.92,1.92,0,0,15.38,0,0,0,0,19.23,9.62,0,1.92,11.54,0,5.77,0,0,0,0,1.92,0,1.92,0,0,7.69,5.77,0,1.92,0,1.92,0,5.77,3.85,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,7.69,1.92,1.92,0,0,3.85,0,0,0,0,0,0
"Hello, The quiz questions are meant to act as practice problems. There will also be more practice problems before the final exam. I am sorry that we do not have any additional practice problems at this time. I believe you may be able to find questions related to the topics covered online.best,Josh",1,67,54,56.91,64.46,33.94,1,13.5,22.22,90.74,48.15,11.11,7.41,3.7,1.85,1.85,0,0,3.7,5.56,11.11,14.81,3.7,3.7,1.85,20.37,12.96,7.41,0,0,3.7,9.26,1.85,7.41,0,0,1.85,7.41,0,0,0,0,22.22,11.11,0,5.56,7.41,0,1.85,0,0,0,0,0,0,0,0,0,18.52,3.7,9.26,1.85,1.85,5.56,1.85,20.37,3.7,7.41,0,1.85,5.56,9.26,0,0,0,0,0,0,0,0,0,0,0,11.11,7.41,3.7,0,0,0,0,0,0,0,0,0
